,title,artist,released_year,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,decease_date
207,Give Up Your Guns,Buoys,1972,208,254,299,250,271,355,430,570,587,427,709,694,835,865,809,1040,1092,1267,1193,1607,99999,99999
208,Whole Lotta Love ,Led Zeppelin,1969,209,120,185,132,93,124,158,192,211,151,93,136,135,91,86,96,125,124,130,141,99999,99999
209,Love Hurts,Nazareth,1974,210,372,373,395,425,426,535,475,443,436,611,557,531,718,554,499,603,653,562,741,99999,99999
210,My Generation,Who,1965,211,385,344,377,339,445,512,589,627,497,396,448,482,444,475,635,695,886,1000,1564,99999,99999
211,Think (Blues Brothers Version),Aretha Franklin,1968,212,273,308,305,301,241,339,384,259,288,583,314,374,459,631,681,841,910,952,459,99999,99999
212,All You Need Is Love,Beatles,1967,213,332,492,608,545,377,249,476,379,392,560,596,688,99999,1459,1159,698,822,1205,1153,99999,99999
213,Massachusetts,Bee Gees,1967,214,233,171,295,227,253,259,287,230,243,425,349,468,802,870,785,1070,863,977,1195,1289,99999
214,More Than A Feeling,Boston,1977,215,96,111,109,150,156,169,234,219,171,279,307,231,252,242,272,250,228,227,313,290,99999
215,Layla ,Derek & The Dominos,1971,216,440,623,465,332,508,543,623,593,526,491,612,677,558,515,633,771,919,833,599,99999,99999
216,Zeg Me Dat Het Niet Zo Is,Frank Boeijen,1990,217,99999,301,287,192,246,229,200,205,208,236,284,344,255,256,134,129,172,220,233,99999,99999
217,White Christmas,Bing Crosby,1954,218,712,1732,1480,1402,1476,1579,1927,1701,1612,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,99999,1977
218,Vincent,Don McLean,1972,219,202,225,273,241,162,304,266,285,240,395,297,350,502,512,435,538,611,585,414,202,99999
219,Like A Prayer,Madonna,1989,220,341,409,386,450,553,580,804,1082,656,942,949,943,932,929,887,729,804,784,728,836,99999
220,Radio Ga Ga,Queen,1984,221,164,287,203,208,213,241,317,449,274,327,387,312,395,338,418,475,489,463,138,163,99999
221,Wind Of Change,Scorpions,1991,222,99999,232,177,140,236,293,315,421,265,312,291,250,283,260,232,225,250,243,294,283,99999
222,Born To Run,Bruce Springsteen,1975,223,210,105,90,120,131,189,206,149,145,128,144,179,179,135,173,173,141,180,215,204,99999
223,One Way Wind,Cats,1971,224,198,300,328,282,327,280,217,204,233,298,311,411,596,668,540,691,741,684,760,99999,99999
224,Through The Barricades,Spandau Ballet,1986,225,291,221,290,371,439,522,548,635,486,578,541,620,844,709,538,583,689,590,755,708,99999
225,Have I Told You Lately,Van Morrison,1989,226,297,154,134,105,130,108,110,77,99,110,123,143,248,245,267,326,381,431,535,579,99999
226,Musica E,Eros Ramazzotti,1989,227,467,383,333,384,319,277,307,330,310,354,355,400,442,415,561,559,761,747,891,909,99999
227,Help,Beatles,1965,228,290,391,550,389,420,516,467,475,443,472,516,623,466,653,919,782,1042,994,931,99999,99999
228,Down Under,Men At Work,1982,229,188,285,206,237,336,344,406,598,364,586,619,598,505,421,570,558,642,518,517,99999,99999
229,Window Of My Eyes,Cuby & the Blizzards,1968,230,91,45,84,84,84,89,88,69,76,87,81,38,106,142,136,194,259,248,363,99999,99999
230,Sara,Fleetwood Mac,1980,231,306,188,166,194,278,329,359,371,287,275,273,268,289,241,227,211,268,261,273,288,99999
231,Vriendschap,Het Goede Doel,1983,232,292,481,540,693,619,680,732,880,681,984,1080,1117,1104,1144,1259,1323,972,1294,1448,1265,99999
232,Vluchten Kan Niet Meer,Frans Halsema & Jenny Arean,1977,233,242,431,445,527,316,231,278,272,280,514,544,629,801,718,1113,954,1139,1212,1358,1303,99999
233,99 Luftballons,Nena,1983,234,288,366,345,144,357,436,310,511,334,493,428,543,279,374,413,411,439,376,309,407,99999
234,"See Me, Feel Me",Who,1970,235,243,234,233,226,99999,448,433,569,494,402,488,534,498,583,532,798,727,848,1433,99999,99999
235,Eleanor Rigby,Beatles,1966,236,323,420,372,377,338,411,327,292,328,273,320,303,321,308,400,396,419,411,566,99999,99999
236,De Bom,Doe Maar,1982,237,224,687,742,1070,954,1108,1111,1120,1002,1288,1389,1001,647,882,1281,1045,1030,968,910,863,99999
237,She's Always A Woman,Billy Joel,1978,238,308,261,211,243,198,276,339,302,260,315,267,348,504,431,401,402,322,318,270,256,99999
238,Rock Around The Clock,Bill Haley & His Comets,1955,239,516,636,740,660,896,891,1253,959,906,1725,1658,1686,99999,99999,99999,99999,99999,99999,99999,99999,99999
239,The Dock Of The Bay,Otis Redding,1968,240,450,371,344,239,257,285,253,297,259,195,155,84,31,51,67,82,56,74,90,99999,99999
240,Our House,"Crosby, Stills, Nash & Young",1970,241,239,192,204,173,233,234,265,300,236,322,271,391,602,508,755,785,544,524,513,528,99999
241,Beat It,Michael Jackson,1983,242,434,330,455,760,518,637,642,918,639,74,179,252,218,315,419,359,391,334,242,406,2009
242,Everybody Needs Somebody To Love,Blues Brothers,1989,243,389,238,367,253,335,455,507,466,403,561,528,626,507,625,770,890,897,910,934,1015,99999
243,Eye Of The Tiger,Survivor,1982,244,403,604,380,378,464,615,712,863,600,1109,1113,934,764,637,730,673,918,776,649,826,99999
244,Saturday Night,Herman Brood & His Wild Romance,1978,245,419,161,142,170,139,204,100,210,141,135,124,134,162,178,169,154,136,141,175,175,99999
245,Earth Song,Michael Jackson,1995,246,99999,99999,561,615,634,780,583,940,692,88,148,152,147,113,118,118,149,166,109,169,2009
246,Jailhouse Rock,Elvis Presley,1957,247,352,560,475,466,540,474,528,594,517,507,634,640,553,675,786,740,760,649,572,661,1977
247,'k Heb Je Lief,Paul de Leeuw,1997,248,247,311,452,461,350,179,93,136,148,143,227,270,287,332,314,330,396,386,503,452,99999
248,Lust For Life,Iggy Pop,1977,249,318,461,411,524,380,552,547,680,527,471,445,467,521,495,543,777,505,541,827,462,99999
249,Give A Little Bit,Supertramp,1977,250,217,229,354,409,529,453,572,577,489,860,805,875,719,746,1008,1066,1088,1052,863,812,99999
250,Ruthless Queen,Kayak,1979,251,113,110,157,115,147,130,120,142,129,104,108,148,164,170,185,226,266,239,283,273,99999
251,Sgt. Pepper’s Lonely Hearts Club Band,Beatles,1967,252,367,485,370,446,443,302,335,221,305,369,389,456,514,643,777,1218,1769,1241,809,99999,99999
252,Theme From 'Harry's Game',Clannad,1983,253,309,414,417,457,531,646,704,785,605,996,1011,1019,1348,1238,1069,1212,1188,1208,1416,1571,99999
253,Just A Little Bit Of Peace In My Heart,Golden Earrings,1968,254,225,361,218,245,272,257,273,436,282,323,353,392,549,419,517,598,631,685,852,711,99999
254,The Wind Cries Mary,Jimi Hendrix Experience,1967,255,223,254,379,318,670,333,410,344,366,224,256,233,301,337,506,554,780,818,685,99999,99999
255,Ben,Michael Jackson,1972,256,603,463,743,690,677,737,733,942,732,186,369,466,336,463,556,552,638,617,495,724,2009
256,Question,Moody Blues,1970,257,271,165,182,154,223,226,197,311,206,252,292,340,350,391,475,678,993,953,969,99999,99999
257,Bloedend Hart,De Dijk,1982,258,99999,279,270,171,244,218,170,296,211,245,260,247,363,493,584,676,573,742,647,647,99999
258,White Room,Cream,1968,259,175,438,301,293,308,297,564,499,398,474,551,504,533,569,415,640,545,623,726,553,99999
259,Who'll Stop The Rain,Creedence Clearwater Revival,1970,260,546,202,236,183,215,243,215,246,212,287,244,385,517,551,630,663,652,624,540,499,99999
260,Oh Well (Part I),Fleetwood Mac,1969,261,206,270,261,421,275,390,471,557,411,398,472,488,636,500,610,848,1192,1038,1140,1068,99999
261,Once Upon A Time In The West,Ennio Morricone,1968,262,482,578,694,623,499,599,600,646,582,784,799,739,578,698,696,738,663,741,779,99999,99999
262,The Man With The Child In His Eyes,Kate Bush,1978,263,304,316,289,209,86,216,240,256,188,184,183,192,251,248,188,277,239,292,281,316,99999
263,De Waarheid,Marco Borsato,1996,264,235,236,529,520,249,351,371,525,379,305,767,731,739,963,1157,723,1183,1202,1025,982,99999
264,The Best,Tina Turner,1989,265,240,376,343,290,250,335,286,447,318,437,450,528,511,635,653,747,903,878,793,707,99999
265,Penny Lane,Beatles,1967,266,366,284,322,502,447,510,438,429,424,324,406,443,462,441,529,432,410,506,388,99999,99999
266,Daar Gaat Ze,Clouseau,1990,267,219,230,378,272,263,246,284,253,253,464,529,596,677,921,1037,964,745,755,914,868,99999
267,Whisky In The Jar,Thin Lizzy,1973,268,258,477,486,376,431,457,488,652,480,478,558,521,583,505,574,703,714,839,1196,1029,99999
268,River Deep Mountain High,Ike & Tina Turner,1966,269,483,417,335,398,271,372,238,489,331,511,435,437,523,462,535,609,713,736,595,577,99999
269,Black Magic Woman,Santana,1970,270,378,603,348,370,455,439,422,703,464,232,253,388,390,440,397,498,276,453,610,709,99999
270,Knockin' On Heaven's Door,Bob Dylan,1973,271,222,393,358,357,264,366,354,237,286,442,388,477,534,473,682,767,782,882,791,997,99999
271,Born To Be Wild,Steppenwolf,1968,272,281,509,489,459,323,587,516,710,509,764,884,659,566,595,884,750,754,729,885,1013,99999
272,Can't Help Falling In Love With You,Elvis Presley,1961,273,99999,835,927,528,772,681,611,649,635,627,731,845,894,811,932,784,670,487,322,99999,1977
273,Hou Me Vast,Volumia!,1998,274,307,436,798,906,516,657,803,711,668,1129,1067,963,1540,1414,1677,1674,1970,99999,99999,99999,99999
274,House For Sale,Lucifer,1975,275,452,525,630,596,583,551,667,866,634,1024,890,836,883,920,994,1194,1307,1014,1323,1362,99999
275,Brown Eyed Girl,Van Morrison,1967,276,216,257,179,178,171,167,167,193,161,211,232,224,288,274,291,331,283,276,370,336,99999
276,Land Van Maas En Waal,Boudewijn De Groot,1967,277,313,370,232,292,176,176,254,269,220,498,518,582,845,855,1108,1219,1121,1277,1042,99999,99999
277,Such A Shame,Talk Talk,1984,278,264,405,224,344,358,586,602,684,493,621,668,588,692,552,474,470,572,448,594,479,99999
278,Take Five,Dave Brubeck Quartet,1962,279,621,741,526,392,485,602,586,604,537,577,724,734,529,506,550,829,1165,976,1224,1298,99999
279,7 Seconds,Youssou N'Dour & Neneh Cherry,1994,280,321,429,416,516,462,539,576,616,530,518,540,781,705,782,828,1042,1310,1329,1613,1727,99999
280,Chiquitita,ABBA,1979,281,244,372,382,463,434,296,479,255,348,531,442,610,532,829,787,835,736,701,611,554,99999
281,Words,Bee Gees,1968,282,215,184,339,279,300,358,356,295,298,388,362,481,763,712,792,882,717,762,1126,1139,99999
282,Almost Cut My Hair,"Crosby, Stills, Nash & Young",1971,283,99999,157,249,297,317,643,213,277,276,261,257,352,414,378,509,562,456,561,731,99999,99999
283,Father And Son,Cat Stevens,1971,284,99999,286,237,352,497,271,259,247,278,214,211,289,460,414,476,512,557,519,713,710,99999
284,It's Now Or Never,Elvis Presley,1960,285,487,1024,1110,558,897,668,999,836,793,1008,1105,1409,1481,1825,99999,99999,99999,99999,99999,99999,1977
285,Belgie,Het Goede Doel,1982,286,345,457,467,618,597,608,734,968,670,817,790,853,736,728,897,808,658,908,696,662,99999
286,Michelle,Beatles,1966,287,329,345,388,356,376,325,321,279,312,349,367,501,595,660,703,893,788,890,1130,99999,99999
287,I Have A Dream,ABBA,1979,288,607,99999,650,416,362,268,395,198,309,447,416,511,707,860,784,752,810,949,797,861,99999
288,Summertime,Brainbox,1969,289,229,252,279,345,315,278,347,333,308,410,373,442,772,724,814,963,1086,1090,1538,1536,99999
289,You Are So Beautiful,Joe Cocker,1975,290,398,487,643,289,258,225,256,410,291,390,376,422,518,476,571,497,559,544,718,99999,99999
290,The Times They Are A Changin',Bob Dylan,1964,291,410,555,563,699,557,617,539,420,519,492,462,494,547,469,709,644,666,712,750,99999,99999
291,Walk On The Wild Side,Lou Reed,1973,292,125,562,437,299,448,605,597,835,533,588,677,625,729,263,507,651,637,678,661,749,99999
292,We Will Rock You,Queen,1977,293,151,337,178,216,157,212,228,516,241,313,246,295,391,355,368,458,476,409,140,137,99999
293,Tom Traubert's Blues (Waltzing Mathilda),Tom Waits,1976,294,316,388,275,280,231,327,198,206,218,302,321,321,506,455,554,907,1408,1691,1124,1221,99999
294,Pour Que Tu M'Aimes Encore,Celine Dion,1995,295,99999,716,787,769,796,898,910,986,867,1181,1220,1319,1252,1621,1707,1610,99999,99999,99999,99999,99999
295,You'll Never Walk Alone,Gerry & The Pacemakers,1963,296,504,868,718,526,656,632,632,708,624,646,654,614,731,633,671,802,974,967,995,780,99999
296,Zing Vecht Huil Bid Lach Werk En Bewonder,Ramses Shaffy,1971,297,584,548,304,295,235,161,164,267,202,7,65,85,150,140,172,166,163,199,250,167,99999
297,Easy Livin',Uriah Heep,1973,298,142,231,165,138,212,253,231,389,230,264,241,347,311,379,351,454,507,531,648,720,99999
298,Always Look On The Bright Side Of Life,Monty Python,1981,299,99999,1221,856,986,916,1183,1182,1589,1181,1219,1576,1184,956,820,1155,1185,1319,1440,99999,99999,99999
299,Don't Stop Me Now,Queen,1979,300,204,196,162,157,138,142,154,155,139,165,171,112,90,114,111,97,90,94,37,49,99999
300,Papa Was A Rolling Stone,Temptations,1972,301,330,304,296,294,265,236,296,367,285,292,337,305,329,299,318,375,474,504,487,99999,99999
301,Mr. Tambourine Man,Byrds,1965,302,277,323,324,349,281,365,472,439,375,696,485,707,1512,1009,1310,1720,1345,1586,99999,99999,99999
302,Bad Moon Rising,Creedence Clearwater Revival,1969,303,208,250,201,302,255,263,216,227,226,266,218,287,229,325,369,342,284,285,244,226,99999
303,MacArthur Park,Richard Harris,1968,304,441,350,193,334,410,323,391,241,313,564,651,804,550,835,949,1128,1631,1570,1796,1696,99999
304,More Than Words,Extreme,1991,305,514,661,581,503,767,988,1099,1099,860,1025,823,1198,99999,1312,1104,1065,1225,1116,1421,1447,99999
305,You're The One That I Want,John Travolta & Olivia Newton John,1978,306,474,812,876,1293,1045,1290,1095,1866,1233,1816,1938,99999,1835,99999,99999,99999,99999,99999,99999,99999,99999
306,Land Of Confusion,Genesis,1986,307,299,297,282,388,423,645,665,738,551,551,586,613,641,481,568,561,552,559,712,775,99999
307,Woorden Zonder Woorden,De Kast,1998,308,99999,292,421,1059,1148,1121,1112,1010,993,1451,1001,1311,1549,1856,99999,99999,99999,99999,99999,99999,99999
308,Baker Street,Gerry Rafferty,1978,309,421,384,473,532,539,427,549,742,547,672,726,396,330,349,298,374,448,449,514,550,99999
309,Stay With Me Till The Morning,Vicky Brown,1986,310,681,267,822,628,538,708,491,750,596,549,614,811,1265,1313,1122,1371,99999,99999,99999,99999,99999
310,Everytime I Think Of You,Babys,1979,311,172,186,175,304,234,336,232,324,249,546,399,490,608,755,492,539,521,520,1541,99999,99999
311,While My Guitar Gently Weeps,Beatles,1968,312,310,375,190,228,282,240,191,167,204,166,164,168,257,168,176,203,218,225,169,99999,99999
312,Locomotive Breath,Jethro Tull,1972,313,226,224,326,231,311,306,270,405,292,480,431,498,540,600,636,586,697,740,996,1012,99999
313,Hocus Pocus,Focus,1971,314,350,228,253,206,342,415,439,559,380,259,215,277,340,292,387,410,463,447,620,606,99999
314,Solsbury Hill,Peter Gabriel,1977,315,272,343,186,197,200,252,261,369,246,243,230,275,295,258,262,317,289,291,406,395,99999
315,Sailing,Rod Stewart,1975,316,305,302,297,346,393,311,300,323,316,397,335,448,556,623,650,580,656,688,788,822,99999
316,Why,Annie Lennox,1992,317,431,447,346,413,491,441,571,402,442,765,715,839,1117,1108,1222,1480,1535,1462,1373,1829,99999
317,Dancing In The Dark,Bruce Springsteen,1984,318,144,150,183,220,217,287,274,236,231,350,380,222,327,236,293,327,262,307,288,99999,99999
318,School's Out,Alice Cooper,1972,319,124,119,125,156,148,208,338,209,191,417,334,353,645,649,788,924,785,757,940,1149,99999
319,Stand By Me,Ben E. King,1987,320,620,538,962,1229,710,852,953,622,768,1218,1125,872,1173,982,1043,689,793,816,669,856,99999
320,Mijn Vlakke Land,Jacques Brel,1965,321,442,470,393,368,304,330,292,331,315,359,404,565,681,610,764,762,1034,1018,1185,1363,99999
321,Message In A Bottle,Police,1979,322,301,341,410,495,549,756,637,654,590,386,454,387,435,341,437,503,422,422,408,99999,99999
322,Venus,Shocking Blue,1969,323,521,729,575,629,502,676,510,527,541,470,545,607,557,620,656,885,655,665,959,841,99999
323,Expecting To Fly,Buffalo Springfield,1968,324,99999,99999,443,568,581,758,805,666,672,1121,1023,1242,1520,1563,1750,99999,99999,99999,99999,99999,99999
324,The Young Ones,Cliff Richard & The Shadows,1962,325,624,633,942,1024,943,1138,1254,1011,1042,1349,1488,1801,99999,99999,99999,99999,99999,99999,99999,99999,99999
325,Alles Geprobeerd,Het Goede Doel,1986,326,317,306,427,431,517,472,542,653,518,594,671,586,433,444,495,587,587,568,704,537,99999
326,Ik Leef Niet Meer Voor Jou,Marco Borsato,1996,327,99999,295,464,490,224,318,369,472,363,364,789,753,861,912,1203,918,1182,1259,999,951,99999
327,Go Like Elijah,Chi Coltrane,1973,328,285,207,135,189,228,368,209,182,198,238,237,358,362,449,432,531,627,605,623,748,99999
328,Broken Wings,Mr. Mister,1986,329,347,443,553,597,845,973,975,1504,913,1267,1241,1485,1312,1134,1173,1415,1418,1258,1114,1218,99999
329,Binnen Zonder Kloppen,De Dijk,1985,330,388,381,315,325,504,456,333,495,397,452,430,529,568,658,769,868,839,800,828,741,99999
330,Money For Nothing,Dire Straits,1985,331,443,325,252,198,306,279,304,303,268,262,255,225,215,195,234,207,193,186,158,173,99999
331,I'm On Fire,Bruce Springsteen,1985,332,298,322,363,406,399,469,496,438,425,462,458,419,343,272,335,337,245,327,239,212,99999
332,Is Dit Alles,Doe Maar,1982,333,326,977,841,846,847,923,1018,984,907,1032,1033,851,785,897,1241,1191,985,1006,1045,1070,99999
333,The Power Of Love,Frankie Goes To Hollywood,1984,334,430,458,413,561,424,639,515,679,543,718,684,702,623,565,555,441,452,387,537,99999,99999
334,Waarom Nou Jij,Marco Borsato,1994,335,274,226,510,420,195,385,382,554,374,333,1060,955,1305,1338,1332,993,1513,1825,1524,1351,99999
335,We Are The World,USA for Africa,1985,336,774,631,975,1252,1107,1671,1821,1770,1481,1518,1499,1802,1726,1568,1739,1585,1767,1986,1717,1743,99999
336,Memory,Barbra Streisand,1982,337,99999,315,302,408,330,314,267,197,255,328,343,440,621,696,604,788,930,881,1018,1143,99999
337,Little Green Bag,George Baker Selection,1969,338,417,628,514,432,324,464,459,656,465,535,579,583,738,641,600,708,610,621,985,978,99999
338,Band On The Run,Paul McCartney & Wings,1974,339,339,249,294,254,344,394,421,411,362,248,270,399,304,537,662,516,728,760,764,760,99999
339,Nescio,Nits,1983,340,211,352,436,311,558,513,635,815,560,738,625,711,747,891,860,1202,1194,1151,1629,1376,99999
340,The Long And Winding Road,Beatles,1970,341,358,256,220,195,298,284,298,252,252,341,296,393,398,393,453,429,598,727,833,99999,99999
341,It Must Have Been Love,Roxette,1990,342,416,547,580,464,851,904,1201,1489,919,1436,1712,1768,1949,1703,1817,1909,1618,1733,1369,1475,99999
342,She,Charles Aznavour,1974,343,1079,542,229,236,175,183,149,118,147,141,140,158,210,169,137,143,169,196,174,242,99999
343,Vlieg Met Me Mee (Live),Paul De Leeuw,1992,344,360,519,707,614,652,733,652,744,649,558,872,1050,1236,1297,1197,1435,1241,1519,1368,99999,99999
344,I Will Survive,Gloria Gaynor,1979,345,573,556,704,831,753,883,860,888,796,1237,857,891,899,998,961,1001,1101,1011,646,873,99999
345,Suzanne,Herman Van Veen,1969,346,99999,635,356,436,339,292,269,289,306,374,438,507,657,640,618,628,574,785,928,99999,99999
346,Autobahn,Kraftwerk,1975,347,344,357,577,585,484,656,607,872,611,643,737,746,464,452,705,732,757,858,906,1105,99999
347,Mandy,Barry Manilow,1974,348,342,507,431,417,404,520,649,474,492,840,860,778,1245,1197,1084,1273,1355,1321,1951,1808,99999
348,I'm Going Home,Ten Years After,1971,349,99999,99999,311,264,296,266,258,368,296,566,423,554,572,632,611,718,1031,909,1396,1389,99999
349,Blueberry Hill,Fats Domino,1957,350,346,563,456,482,505,399,431,373,417,394,455,449,706,801,830,1071,1045,643,1229,1427,99999
350,Brown Sugar,Rolling Stones,1971,351,647,564,517,434,533,590,465,575,508,631,611,624,465,627,669,741,729,824,924,99999,99999
351,Unchain My Heart,Joe Cocker,1987,352,560,596,610,723,461,532,477,631,536,567,499,560,754,727,877,827,858,706,950,810,99999
352,Dreamer,Supertramp,1974,353,380,246,360,401,347,347,451,423,383,541,508,552,453,486,687,686,676,644,557,515,99999
353,Tonight (Live),David Bowie & Tina Turner,1988,354,458,647,670,592,444,494,441,458,463,685,609,703,863,783,695,936,612,709,486,506,99999
354,Leningrad,Billy Joel,1989,355,327,164,217,437,312,303,461,378,352,351,378,425,399,397,367,404,446,492,571,549,99999
355,Overture (Tommy),Who,1969,356,376,214,303,327,511,435,399,566,422,362,408,435,776,851,1045,1245,1555,1613,1589,99999,99999
356,Nothing Rhymed,Gilbert O'Sullivan,1971,357,319,220,278,353,396,402,372,570,400,379,359,463,652,597,515,592,795,722,724,772,99999
